SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"MOTHERSON","155.17","169.80","155.17","155.00","168.50","-","13.5","8.71","115582755","1,927.00","169.80","89.70","19.8","79.03"
"AUROPHARMA","1,580.10","1,662.40","1,579.90","1,588.90","1,658.00","-","69.1","4.35","2001257","327.54","1,662.40","1,016.10","6.46","55.01"
"FORTIS","920.00","967.70","903.35","920.00","955.15","-","35.15","3.82","3551821","334.62","1,104.30","766.80","1.21","8.05"
"PGEL","614.30","643.95","602.45","609.75","630.65","-","20.9","3.43","11060038","693.77","791.30","436.55","12.08","-14.41"
"TCS","2,375.00","2,457.70","2,375.00","2,373.00","2,452.70","-","79.7","3.36","4547979","1,107.74","3,350.00","1,976.80","19.21","-19.5"
"SONACOMS","790.00","821.00","787.00","792.00","818.05","-","26.05","3.29","3753214","303.07","824.60","402.30","23.56","82.25"
"GRASIM","3,220.00","3,349.60","3,183.00","3,220.00","3,323.00","-","113","3.52","1071215","351.15","3,349.60","2,502.50","6","21.11"
"HINDALCO","1,017.00","1,059.60","1,017.00","1,027.00","1,059.60","-","32.6","3.17","9284747","965.79","1,176.00","657.50","9.05","54.28"
"HEROMOTOCO","5,541.00","5,800.00","5,541.00","5,550.50","5,725.00","-","174.5","3.14","1914675","1,093.02","6,388.50","4,422.30","17.01","22.84"
"LTM","4,542.00","4,688.00","4,542.00","4,528.00","4,658.10","-","130.1","2.87","643855","298.74","6,429.50","3,528.00","22.78","0"
"JUBLFOOD","470.00","488.00","469.40","473.00","486.50","-","13.5","2.85","4147385","200.65","670.45","408.55","13.35","-23.47"
"M&M","3,405.00","3,504.90","3,402.10","3,406.00","3,502.00","-","96","2.82","3299237","1,146.65","3,839.90","2,896.00","12.88","9.06"
"BHARATFORG","2,209.90","2,270.00","2,190.40","2,210.00","2,265.20","-","55.2","2.5","1152060","258.48","2,270.00","1,100.50","7.84","95.01"
"BOSCHLTD","42,350.00","42,950.00","42,000.00","42,000.00","42,950.00","-","950","2.26","28216","119.74","43,650.00","28,610.00","3.22","11.36"
"HINDZINC","593.00","605.85","590.05","590.00","603.00","-","13","2.2","6362181","381.55","733.00","414.55","13.71","42"
"POWERINDIA","31,945.00","32,680.00","31,945.00","31,900.00","32,600.00","-","700","2.19","91167","295.96","38,785.00","16,111.00","2.66","57.41"
"MPHASIS","2,415.00","2,498.00","2,405.10","2,421.90","2,475.00","-","53.1","2.19","608641","150.62","3,037.20","2,013.00","10.4","-8.42"
"WAAREEENER","2,663.90","2,730.00","2,656.90","2,660.90","2,717.00","-","56.1","2.11","777123","210.29","3,865.00","2,403.00","-3.77","-14.1"
"DELHIVERY","466.00","480.00","464.05","463.60","473.30","-","9.7","2.09","6405412","302.43","524.00","374.45","-5.68","1.62"
"COCHINSHIP","1,490.00","1,524.70","1,482.60","1,490.00","1,519.70","-","29.7","1.99","2274374","343.33","1,979.90","1,187.00","8.23","-10.22"
"BRITANNIA","5,502.50","5,660.00","5,500.00","5,404.00","5,510.00","-","106","1.96","1342849","750.54","6,336.00","5,035.00","3.66","0.61"
"TATAELXSI","3,716.40","3,833.60","3,716.10","3,715.00","3,781.00","-","66","1.78","449437","170.49","5,972.00","3,353.90","4.34","-35.53"
"LICI","393.45","396.85","391.10","387.55","394.00","-","6.45","1.66","36390176","1,431.95","468.48","360.75","-7.92","-55.48"
"BANKINDIA","142.95","145.14","142.00","142.66","145.00","-","2.34","1.64","8569425","123.03","178.36","109.30","7.31","29.57"
"HCLTECH","1,329.00","1,369.00","1,328.00","1,335.00","1,356.60","-","21.6","1.62","1725616","233.64","1,780.10","1,030.00","18.42","-8.06"
"RECLTD","361.95","368.70","361.50","361.50","367.00","-","5.5","1.52","4061190","148.79","396.70","304.05","5.23","-4.66"
"TVSMOTOR","4,380.00","4,458.00","4,378.00","4,375.00","4,440.90","-","65.9","1.51","840158","372.53","4,458.00","2,931.30","22.01","47.37"
